Sample,Time(S),CH1(V),CH2(V)
0,-0.0016,0.068312,-1.56055
1,-0.001599,0.068312,-1.56055
2,-0.001598,0.068312,-1.55903
3,-0.001597,0.068312,-1.55751
4,-0.001596,0.068312,-1.556
5,-0.001595,0.068312,-1.55448
6,-0.001594,0.068312,-1.55296
7,-0.001593,0.068312,-1.55144
8,-0.001592,0.0652759,-1.55144
9,-0.001591,0.0637579,-1.54841
10,-0.00159,0.0652759,-1.54689
11,-0.001589,0.0637579,-1.54233
12,-0.001588,0.0667939,-1.54233
13,-0.001587,0.0667939,-1.53778
14,-0.001586,0.0637579,-1.53626
15,-0.001585,0.0607218,-1.53322
16,-0.001584,0.0607218,-1.53322
17,-0.001583,0.0607218,-1.53019
18,-0.001582,0.0607218,-1.52715
19,-0.001581,0.0622398,-1.52412
20,-0.00158,0.0622398,-1.52108
21,-0.001579,0.0622398,-1.51653
22,-0.001578,0.0622398,-1.51501
23,-0.001577,0.0622398,-1.51197
24,-0.001576,0.0622398,-1.50894
25,-0.001575,0.0622398,-1.50742
26,-0.001574,0.0576857,-1.50438
27,-0.001573,0.0592037,-1.50135
28,-0.001572,0.0592037,-1.49831
29,-0.001571,0.0561676,-1.49376
30,-0.00157,0.0592037,-1.49072
31,-0.001569,0.0546496,-1.48768
32,-0.001568,0.0546496,-1.48617
33,-0.001567,0.0561676,-1.48009
34,-0.001566,0.0561676,-1.47706
35,-0.001565,0.0561676,-1.47402
36,-0.001564,0.0561676,-1.46947
37,-0.001563,0.0561676,-1.46491
38,-0.001562,0.0561676,-1.46188
39,-0.001561,0.0531316,-1.45884
40,-0.00156,0.0546496,-1.4558
41,-0.001559,0.0500955,-1.45277
42,-0.001558,0.0516135,-1.44821
43,-0.001557,0.0516135,-1.44214
44,-0.001556,0.0516135,-1.44062
45,-0.001555,0.0516135,-1.43455
46,-0.001554,0.0485774,-1.43152
47,-0.001553,0.0485774,-1.42544
48,-0.001552,0.0500955,-1.42089
49,-0.001551,0.0470594,-1.41785
50,-0.00155,0.0485774,-1.41178
51,-0.001549,0.0485774,-1.40723
52,-0.001548,0.0485774,-1.40571
53,-0.001547,0.0485774,-1.39812
54,-0.001546,0.0485774,-1.39356
55,-0.001545,0.0485774,-1.39053
56,-0.001544,0.0425052,-1.38446
57,-0.001543,0.0440233,-1.38142
58,-0.001542,0.0440233,-1.37535
59,-0.001541,0.0440233,-1.37079
60,-0.00154,0.0409872,-1.36624
61,-0.001539,0.0409872,-1.36017
62,-0.001538,0.0409872,-1.35258
63,-0.001537,0.0394692,-1.34954
64,-0.001536,0.0379511,-1.34347
65,-0.001535,0.0409872,-1.3374
66,-0.001534,0.0409872,-1.33284
67,-0.001533,0.0409872,-1.32677
68,-0.001532,0.0409872,-1.3207
69,-0.001531,0.034915,-1.31766
70,-0.00153,0.0364331,-1.31007
71,-0.001529,0.034915,-1.304
72,-0.001528,0.0379511,-1.30096
73,-0.001527,0.033397,-1.29337
74,-0.001526,0.033397,-1.28578
75,-0.001525,0.033397,-1.28123
76,-0.001524,0.033397,-1.27516
77,-0.001523,0.033397,-1.26757
78,-0.001522,0.033397,-1.26301
79,-0.001521,0.033397,-1.25694
80,-0.00152,0.033397,-1.25087
81,-0.001519,0.033397,-1.2448
82,-0.001518,0.0303609,-1.23721
83,-0.001517,0.0303609,-1.23417
84,-0.001516,0.0273248,-1.22506
85,-0.001515,0.0288428,-1.21747
86,-0.001514,0.0273248,-1.21292
87,-0.001513,0.0273248,-1.20533
88,-0.001512,0.0258068,-1.19925
89,-0.001511,0.0258068,-1.19166
90,-0.00151,0.0273248,-1.18559
91,-0.001509,0.0258068,-1.17952
92,-0.001508,0.0273248,-1.17193
93,-0.001507,0.0242887,-1.16586
94,-0.001506,0.0242887,-1.15827
95,-0.001505,0.0242887,-1.1522
96,-0.001504,0.0242887,-1.14461
97,-0.001503,0.0242887,-1.13702
98,-0.001502,0.0197346,-1.13094
99,-0.001501,0.0197346,-1.12335
100,-0.0015,0.0182165,-1.11424
101,-0.001499,0.0182165,-1.10817
102,-0.001498,0.0182165,-1.10058
103,-0.001497,0.0182165,-1.09299
104,-0.001496,0.0182165,-1.0854
105,-0.001495,0.0197346,-1.07933
106,-0.001494,0.0166985,-1.07022
107,-0.001493,0.0151804,-1.06567
108,-0.001492,0.0151804,-1.05504
109,-0.001491,0.0151804,-1.04897
110,-0.00149,0.0151804,-1.0429
111,-0.001489,0.0106263,-1.03379
112,-0.001488,0.0121444,-1.02468
113,-0.001487,0.0121444,-1.01861
114,-0.001486,0.0106263,-1.0095
115,-0.001485,0.0121444,-1.00343
116,-0.001484,0.0121444,-0.994319
117,-0.001483,0.0106263,-0.986729
118,-0.001482,0.0106263,-0.979139
119,-0.001481,0.00910827,-0.971548
120,-0.00148,0.00910827,-0.96244
121,-0.001479,0.00759022,-0.956368
122,-0.001478,0.00759022,-0.945742
123,-0.001477,0.00455413,-0.938151
124,-0.001476,0.00607218,-0.930561
125,-0.001475,0.00607218,-0.918417
126,-0.001474,0.00607218,-0.912345
127,-0.001473,0.00607218,-0.904754
128,-0.001472,0.00607218,-0.894128
129,-0.001471,0.00455413,-0.886538
130,-0.00147,0.00455413,-0.878948
131,-0.001469,0.00151804,-0.869839
132,-0.001468,0.00303609,-0.862249
133,-0.001467,0.00151804,-0.853141
134,-0.001466,0,-0.845551
135,-0.001465,0,-0.834924
136,-0.001464,0,-0.825816
137,-0.001463,0,-0.816708
138,-0.001462,0,-0.809118
139,-0.001461,-0.00303609,-0.798491
140,-0.00146,-0.00303609,-0.790901
141,-0.001459,-0.00455413,-0.784829
142,-0.001458,-0.00455413,-0.774203
143,-0.001457,-0.00455413,-0.765094
144,-0.001456,-0.00607218,-0.754468
145,-0.001455,-0.00455413,-0.746878
146,-0.001454,-0.00759022,-0.73777
147,-0.001453,-0.00759022,-0.727143
148,-0.001452,-0.00910827,-0.718035
149,-0.001451,-0.00759022,-0.708927
150,-0.00145,-0.00910827,-0.699818
151,-0.001449,-0.00910827,-0.689192
152,-0.001448,-0.00759022,-0.680084
153,-0.001447,-0.00759022,-0.672494
154,-0.001446,-0.00607218,-0.661867
155,-0.001445,-0.00910827,-0.654277
156,-0.001444,-0.00910827,-0.646687
157,-0.001443,-0.00910827,-0.637579
158,-0.001442,-0.0121444,-0.62847
159,-0.001441,-0.0121444,-0.617844
160,-0.00144,-0.0121444,-0.610254
161,-0.001439,-0.0121444,-0.601146
162,-0.001438,-0.0121444,-0.592037
163,-0.001437,-0.0121444,-0.582929
164,-0.001436,-0.0121444,-0.573821
