f	G
1.00000000000000e+00	(2.60197918242052e+01dB,1.79970850823870e+02°)
1.02329299228075e+00	(2.60197917712996e+01dB,1.79970171852456e+02°)
1.04712854805090e+00	(2.60197917159006e+01dB,1.79969477065776e+02°)
1.07151930523761e+00	(2.60197916578907e+01dB,1.79968766095443e+02°)
1.09647819614318e+00	(2.60197915971470e+01dB,1.79968038564494e+02°)
1.12201845430196e+00	(2.60197915335404e+01dB,1.79967294087183e+02°)
1.14815362149688e+00	(2.60197914669362e+01dB,1.79966532268780e+02°)
1.17489755493953e+00	(2.60197913971930e+01dB,1.79965752705358e+02°)
1.20226443461741e+00	(2.60197913241629e+01dB,1.79964954983584e+02°)
1.23026877081238e+00	(2.60197912476910e+01dB,1.79964138680498e+02°)
1.25892541179417e+00	(2.60197911676152e+01dB,1.79963303363285e+02°)
1.28824955169313e+00	(2.60197910837654e+01dB,1.79962448589051e+02°)
1.31825673855641e+00	(2.60197909959640e+01dB,1.79961573904584e+02°)
1.34896288259165e+00	(2.60197909040245e+01dB,1.79960678846118e+02°)
1.38038426460288e+00	(2.60197908077522e+01dB,1.79959762939081e+02°)
1.41253754462275e+00	(2.60197907069426e+01dB,1.79958825697850e+02°)
1.44543977074593e+00	(2.60197906013820e+01dB,1.79957866625489e+02°)
1.47910838816821e+00	(2.60197904908466e+01dB,1.79956885213487e+02°)
1.51356124843621e+00	(2.60197903751017e+01dB,1.79955880941489e+02°)
1.54881661891248e+00	(2.60197902539020e+01dB,1.79954853277020e+02°)
1.58489319246111e+00	(2.60197901269903e+01dB,1.79953801675200e+02°)
1.62181009735893e+00	(2.60197899940974e+01dB,1.79952725578459e+02°)
1.65958690743756e+00	(2.60197898549415e+01dB,1.79951624416239e+02°)
1.69824365246174e+00	(2.60197897092274e+01dB,1.79950497604693e+02°)
1.73780082874937e+00	(2.60197895566460e+01dB,1.79949344546374e+02°)
1.77827941003892e+00	(2.60197893968737e+01dB,1.79948164629919e+02°)
1.81970085860998e+00	(2.60197892295715e+01dB,1.79946957229725e+02°)
1.86208713666287e+00	(2.60197890543846e+01dB,1.79945721705615e+02°)
1.90546071796325e+00	(2.60197888709415e+01dB,1.79944457402505e+02°)
1.94984459975804e+00	(2.60197886788529e+01dB,1.79943163650047e+02°)
1.99526231496888e+00	(2.60197884777115e+01dB,1.79941839762284e+02°)
2.04173794466953e+00	(2.60197882670906e+01dB,1.79940485037277e+02°)
2.08929613085404e+00	(2.60197880465434e+01dB,1.79939098756740e+02°)
2.13796208950223e+00	(2.60197878156022e+01dB,1.79937680185655e+02°)
2.18776162394955e+00	(2.60197875737771e+01dB,1.79936228571884e+02°)
2.23872113856834e+00	(2.60197873205552e+01dB,1.79934743145768e+02°)
2.29086765276777e+00	(2.60197870553992e+01dB,1.79933223119724e+02°)
2.34422881531992e+00	(2.60197867777469e+01dB,1.79931667687823e+02°)
2.39883291901949e+00	(2.60197864870092e+01dB,1.79930076025362e+02°)
2.45470891568503e+00	(2.60197861825695e+01dB,1.79928447288432e+02°)
2.51188643150958e+00	(2.60197858637821e+01dB,1.79926780613464e+02°)
