time	V_out	V_in
0.000000000000000e+00	3.726313e-01	2.117081e-14
1.859641215060104e-06	3.608483e-01	1.165790e-02
3.459641215057541e-06	3.474024e-01	2.156678e-02
5.059641215054977e-06	3.303770e-01	3.125788e-02
6.659641215052414e-06	3.099454e-01	4.063334e-02
8.259641215049851e-06	2.863155e-01	4.959848e-02
9.859641215047288e-06	2.597272e-01	5.806278e-02
1.145964121504472e-05	2.304504e-01	6.594076e-02
1.305964121504216e-05	1.987820e-01	7.315288e-02
1.465964121503960e-05	1.650431e-01	7.962629e-02
1.625964121503704e-05	1.295758e-01	8.529565e-02
1.785964121503447e-05	9.273937e-02	9.010369e-02
1.945964121503191e-05	5.490707e-02	9.400187e-02
2.105964121502935e-05	1.646214e-02	9.695083e-02
2.265964121502678e-05	-2.220604e-02	9.892078e-02
2.425964121502422e-05	-6.070582e-02	9.989182e-02
2.585964121502166e-05	-9.864730e-02	9.985416e-02
2.745964121501909e-05	-1.356462e-01	9.880818e-02
2.905964121501653e-05	-1.713279e-01	9.676445e-02
3.065964121501397e-05	-2.053309e-01	9.374358e-02
3.225964121501140e-05	-2.373109e-01	8.977609e-02
3.385964121500884e-05	-2.669438e-01	8.490205e-02
3.545964121500628e-05	-2.939295e-01	7.917067e-02
3.705964121500371e-05	-3.179944e-01	7.263982e-02
3.865964121500115e-05	-3.388945e-01	6.537547e-02
4.025964121499859e-05	-3.564180e-01	5.745095e-02
4.185964121499602e-05	-3.703868e-01	4.894630e-02
4.345964121499346e-05	-3.806590e-01	3.994739e-02
4.505964121499090e-05	-3.871300e-01	3.054509e-02
4.665964121498833e-05	-3.897335e-01	2.083435e-02
4.825964121498577e-05	-3.884424e-01	1.091322e-02
4.985964121498321e-05	-3.832689e-01	8.818888e-04
5.145964121498064e-05	-3.742644e-01	-9.158345e-03
5.305964121497808e-05	-3.615190e-01	-1.910610e-02
5.465964121497552e-05	-3.451607e-01	-2.886092e-02
5.625964121497296e-05	-3.253537e-01	-3.832430e-02
5.785964121497039e-05	-3.022974e-01	-4.740069e-02
5.945964121496783e-05	-2.762239e-01	-5.599843e-02
6.105964121496527e-05	-2.473956e-01	-6.403069e-02
6.265964121496270e-05	-2.161030e-01	-7.141638e-02
6.425964121496014e-05	-1.826613e-01	-7.808090e-02
6.585964121495758e-05	-1.474076e-01	-8.395697e-02
6.745964121495501e-05	-1.106972e-01	-8.898524e-02
6.905964121495245e-05	-7.290000e-02	-9.311494e-02
7.065964121494989e-05	-3.439716e-02	-9.630438e-02
7.225964121494732e-05	4.423221e-03	-9.852133e-02
7.385964121494476e-05	4.316975e-02	-9.974342e-02
7.545964121494220e-05	8.145178e-02	-9.995830e-02
7.705964121493963e-05	1.188834e-01	-9.916381e-02
7.865964121493707e-05	1.550871e-01	-9.736796e-02
8.025964121493451e-05	1.896980e-01	-9.458890e-02
8.185964121493194e-05	2.223671e-01	-9.085467e-02
8.345964121492938e-05	2.527651e-01	-8.620301e-02
8.505964121492682e-05	2.805855e-01	-8.068087e-02
8.665964121492425e-05	3.055481e-01	-7.434401e-02
8.825964121492169e-05	3.274012e-01	-6.725644e-02
8.985964121491913e-05	3.459247e-01	-5.948970e-02
9.145964121491656e-05	3.609320e-01	-5.112224e-02
9.305964121491400e-05	3.722721e-01	-4.223856e-02
9.465964121491144e-05	3.798310e-01	-3.292835e-02
9.625964121490888e-05	3.835328e-01	-2.328563e-02
9.785964121490631e-05	3.833407e-01	-1.340777e-02
9.945964121490375e-05	3.792569e-01	-3.394522e-03
1.010596412149012e-04	3.713232e-01	6.653004e-03
1.026596412148986e-04	3.596201e-01	1.663335e-02
1.042596412148961e-04	3.442664e-01	2.644573e-02
1.058596412148935e-04	3.254173e-01	3.599107e-02
1.074596412148909e-04	3.032637e-01	4.517296e-02
1.090596412148884e-04	2.780297e-01	5.389870e-02
1.106596412148858e-04	2.499705e-01	6.208018e-02
1.122596412148832e-04	2.193698e-01	6.963477e-02
1.138596412148807e-04	1.865371e-01	7.648619e-02
1.154596412148781e-04	1.518042e-01	8.256526e-02
1.170596412148756e-04	1.155222e-01	8.781058e-02
1.186596412148730e-04	7.805795e-02	9.216920e-02
1.202596412148704e-04	3.979001e-02	9.559710e-02
1.218596412148679e-04	1.105194e-03	9.805965e-02
1.234596412148653e-04	-3.760552e-02	9.953202e-02
1.250596412148627e-04	-7.595091e-02	9.999930e-02
1.266596412148602e-04	-1.135434e-01	9.945679e-02
1.282596412148576e-04	-1.500031e-01	9.790998e-02
1.298596412148550e-04	-1.849616e-01	9.537447e-02
1.314596412148525e-04	-2.180654e-01	9.187587e-02
1.330596412148499e-04	-2.489800e-01	8.744952e-02
1.346596412148474e-04	-2.773930e-01	8.214010e-02
1.362596412148448e-04	-3.030171e-01	7.600124e-02
1.378596412148422e-04	-3.255933e-01	6.909492e-02
1.394596412148397e-04	-3.448934e-01	6.149088e-02
1.410596412148371e-04	-3.607221e-01	5.326590e-02
1.426596412148345e-04	-3.729194e-01	4.450305e-02
1.442596412148320e-04	-3.813619e-01	3.529081e-02
1.458596412148294e-04	-3.859640e-01	2.572220e-02
