time	V_out	V_in
0.000000000000000e+00	2.310643e-04	0.000000e+00
2.285714279943413e-06	2.102977e-04	7.180789e-05
4.571428559886826e-06	1.525758e-04	1.436157e-04
6.857142839830239e-06	5.789853e-05	2.154233e-04
9.142857119773651e-06	-7.373404e-05	2.872308e-04
1.142857139971706e-05	-2.423219e-04	3.590383e-04
1.371428567966048e-05	-4.478652e-04	4.308455e-04
1.599999995960388e-05	-6.903637e-04	5.026527e-04
2.928718476260301e-05	-2.704245e-03	9.200711e-04
4.843856758512027e-05	-7.243088e-03	1.521684e-03
7.658949671507250e-05	-1.665653e-02	2.405898e-03
1.153253288927249e-04	-3.340277e-02	3.622259e-03
1.641534538927249e-04	-5.847942e-02	5.154748e-03
2.129815788927249e-04	-8.613264e-02	6.686022e-03
2.618097038927249e-04	-1.151551e-01	8.215724e-03
3.106378288927249e-04	-1.448959e-01	9.743492e-03
4.082940788927248e-04	-2.052821e-01	1.279179e-02
5.687293467498679e-04	-3.057025e-01	1.780293e-02
7.291646146070109e-04	-4.047550e-01	2.273808e-02
8.895998824641539e-04	-5.024397e-01	2.759726e-02
1.050035150321297e-03	-5.987564e-01	3.238045e-02
1.210470418178440e-03	-6.937054e-01	3.708765e-02
1.370905686035583e-03	-7.872864e-01	4.171888e-02
1.531340953892726e-03	-8.794996e-01	4.627413e-02
1.810358811035582e-03	-1.035789e+00	5.397977e-02
2.089376668178438e-03	-1.181564e+00	6.114563e-02
2.368394525321295e-03	-1.316824e+00	6.777170e-02
2.647412382464152e-03	-1.441569e+00	7.385797e-02
2.926430239607008e-03	-1.555799e+00	7.940445e-02
3.205448096749865e-03	-1.659514e+00	8.441114e-02
3.484465953892720e-03	-1.752715e+00	8.887804e-02
3.686753900321291e-03	-1.810606e+00	9.162721e-02
3.889041846749862e-03	-1.860771e+00	9.398729e-02
4.091329793178433e-03	-1.903212e+00	9.595827e-02
4.293617739607004e-03	-1.937928e+00	9.754014e-02
4.495905686035574e-03	-1.964919e+00	9.873290e-02
4.698193632464145e-03	-1.984184e+00	9.953657e-02
4.900481578892716e-03	-1.995725e+00	9.995113e-02
5.067892293178430e-03	-1.998845e+00	9.997258e-02
5.235303007464143e-03	-1.996498e+00	9.972153e-02
5.402713721749857e-03	-1.988684e+00	9.919797e-02
5.570124436035571e-03	-1.975402e+00	9.840191e-02
5.737535150321284e-03	-1.956653e+00	9.733334e-02
5.904945864606999e-03	-1.932437e+00	9.599227e-02
6.072356578892712e-03	-1.902753e+00	9.437870e-02
6.344398989606997e-03	-1.841833e+00	9.112533e-02
6.616441400321282e-03	-1.769051e+00	8.728934e-02
6.888483811035568e-03	-1.684406e+00	8.287075e-02
7.160526221749853e-03	-1.587900e+00	7.786956e-02
7.432568632464139e-03	-1.479531e+00	7.228575e-02
7.704611043178424e-03	-1.359300e+00	6.611934e-02
7.976653453892708e-03	-1.227206e+00	5.937032e-02
8.178941400321283e-03	-1.123372e+00	5.408228e-02
8.381229346749857e-03	-1.016125e+00	4.863283e-02
8.583517293178432e-03	-9.054640e-01	4.302196e-02
8.785805239607005e-03	-7.913903e-01	3.724967e-02
8.988093186035580e-03	-6.739035e-01	3.131597e-02
9.190381132464155e-03	-5.530036e-01	2.522085e-02
9.392669078892728e-03	-4.286906e-01	1.896431e-02
9.476374436035587e-03	-3.771107e-01	1.637157e-02
9.560079793178446e-03	-3.253597e-01	1.377202e-02
9.643785150321304e-03	-2.734376e-01	1.116566e-02
9.727490507464163e-03	-2.213443e-01	8.552489e-03
9.811195864607020e-03	-1.690800e-01	5.932502e-03
9.894901221749878e-03	-1.166445e-01	3.305702e-03
9.978606578892737e-03	-6.403796e-02	6.720891e-04
1.027157532889274e-02	1.198806e-01	-8.521443e-03
1.042503515032132e-02	2.164601e-01	-1.334044e-02
1.057849497174989e-02	3.119894e-01	-1.810117e-02
1.073195479317846e-02	4.064684e-01	-2.280365e-02
1.088541461460703e-02	4.998972e-01	-2.744787e-02
